Power Usage Effectiveness (PUE),Energy Consumption (kWh),Renewable Energy Usage (%),Cooling Efficiency,Total Power Consumption (kW),Server Power Consumption (kW),Dynamic Power Usage (kW),CPU Utilization (%),Task Completion Time (ms),SLA Violations,Workload Type,Number of Active VMs,Energy Strategy,Energy Savings (%)
1.3,"7,000",50,1.5,"1,800",190,80,70,78,5,Compute-heavy,413,Hybrid,40
1.6,"6,000",50,1.3,"2,600",60,150,0,174,1,Mixed,461,Renewable-first,30
1.3,"15,000",40,1.3,"1,000",130,60,70,101,5,Compute-heavy,493,Hybrid,70
1.5,"28,000",10,1.8,"2,000",130,120,10,163,5,Compute-heavy,345,Non-renewable,30
1.4,"28,000",70,1.7,"1,700",100,110,10,36,2,Mixed,322,Hybrid,60
1.8,"25,000",0,1.6,"2,000",150,70,60,137,4,Compute-heavy,269,Hybrid,70
1.2,"29,000",0,1.6,"2,100",130,50,0,144,0,Mixed,219,Non-renewable,70
1.3,"8,000",0,1.5,"1,800",150,110,70,169,0,Compute-heavy,206,Renewable-first,0
1.3,"44,000",80,1.3,"2,900",40,90,30,77,0,I/O heavy,208,Renewable-first,30
1.4,"47,000",40,1.3,"1,900",80,110,20,111,2,Compute-heavy,315,Renewable-first,10
1.3,"27,000",10,1.0,"1,400",50,70,30,116,5,I/O heavy,297,Non-renewable,40
1.5,"28,000",100,1.1,"1,100",30,50,80,123,4,Mixed,361,Renewable-first,60
1.7,"25,000",0,1.3,"1,400",130,80,40,37,5,Compute-heavy,379,Hybrid,10
1.6,"6,000",30,1.1,"1,000",30,80,30,42,5,Mixed,161,Non-renewable,50
1.5,"27,000",100,1.3,"1,800",130,130,60,117,5,Mixed,385,Renewable-first,0
1.3,"19,000",10,1.2,"2,400",100,50,60,72,2,Compute-heavy,483,Renewable-first,50
1.6,"30,000",20,1.3,"2,100",20,70,60,87,5,Mixed,338,Non-renewable,80
1.3,"30,000",10,1.3,"1,300",60,130,90,94,4,Mixed,455,Renewable-first,30
1.7,"32,000",70,1.6,"2,500",130,120,70,63,5,I/O heavy,327,Hybrid,30
1.4,"30,000",20,1.5,"2,000",160,60,100,94,5,I/O heavy,168,Hybrid,30
1.5,"49,000",10,1.7,"2,900",90,130,20,90,0,Compute-heavy,249,Non-renewable,60
1.4,"6,000",50,1.3,"1,100",80,50,100,133,2,Mixed,123,Renewable-first,70
1.7,"39,000",60,1.7,800,50,80,80,76,1,Compute-heavy,461,Hybrid,50
1.3,"36,000",80,1.8,"1,500",200,60,10,180,5,I/O heavy,159,Hybrid,30
1.5,"34,000",100,1.2,600,80,80,60,40,2,I/O heavy,123,Hybrid,50
1.3,"24,000",90,1.6,"1,200",30,140,90,185,4,Compute-heavy,76,Hybrid,60
1.6,"17,000",30,1.0,"1,800",110,140,10,53,3,Compute-heavy,302,Non-renewable,60
1.7,"31,000",40,1.4,"2,900",40,150,90,186,1,Mixed,189,Non-renewable,60
1.5,"27,000",100,1.1,"2,100",90,110,90,21,3,I/O heavy,144,Renewable-first,40
1.5,"20,000",50,1.7,"2,700",100,60,90,165,2,Mixed,402,Non-renewable,40
1.8,"35,000",20,1.3,"1,600",110,130,20,52,4,I/O heavy,380,Hybrid,30
1.5,"16,000",20,1.5,"2,400",110,80,60,73,0,I/O heavy,217,Hybrid,80
1.5,"37,000",20,1.5,"2,800",120,50,90,35,1,Compute-heavy,159,Hybrid,30
1.5,"42,000",40,1.1,"1,700",100,80,50,60,1,Mixed,305,Renewable-first,0
1.6,"49,000",100,1.1,500,170,110,10,148,3,Compute-heavy,365,Renewable-first,30
1.3,"36,000",50,1.5,600,110,70,0,121,3,I/O heavy,176,Non-renewable,10
1.7,"6,000",80,1.3,"3,000",190,80,100,150,3,Compute-heavy,334,Hybrid,60
1.5,"27,000",80,1.1,"1,400",200,140,40,101,4,Compute-heavy,116,Renewable-first,0
1.2,"36,000",40,1.2,"2,700",200,140,10,154,0,Mixed,381,Renewable-first,30
1.7,"19,000",70,1.2,"1,000",130,70,20,197,0,Compute-heavy,284,Non-renewable,30
1.4,"44,000",60,1.0,"1,700",190,130,80,120,5,Mixed,378,Renewable-first,60
1.3,"45,000",30,1.3,"2,100",60,100,100,195,2,Compute-heavy,376,Non-renewable,30
1.6,"44,000",0,1.5,"2,600",90,100,100,106,4,Compute-heavy,117,Non-renewable,60
1.7,"12,000",20,1.1,"1,100",50,120,40,88,3,Compute-heavy,323,Non-renewable,0
1.7,"47,000",100,1.5,"1,100",200,80,40,107,0,Mixed,117,Non-renewable,80
1.8,"26,000",90,1.1,"1,200",180,130,10,161,4,I/O heavy,59,Renewable-first,50
1.7,"42,000",40,1.1,"1,800",80,70,10,157,0,I/O heavy,71,Hybrid,30
1.2,"38,000",90,1.1,"2,600",130,110,100,171,4,Mixed,278,Renewable-first,80
1.4,"5,000",20,1.2,600,130,120,60,86,4,I/O heavy,334,Renewable-first,20
1.7,"14,000",100,1.4,"1,100",70,50,50,32,0,Mixed,427,Non-renewable,60
1.4,"44,000",30,1.4,"2,100",160,110,90,163,3,I/O heavy,103,Non-renewable,0
1.6,"20,000",80,1.4,500,40,60,10,162,0,I/O heavy,317,Renewable-first,70
1.6,"28,000",80,1.3,"2,600",40,70,10,22,4,Compute-heavy,249,Non-renewable,70
1.4,"28,000",100,1.7,"1,800",30,60,60,157,4,Mixed,396,Hybrid,80
1.7,"18,000",80,1.7,"2,600",160,150,40,86,4,I/O heavy,299,Non-renewable,10
1.5,"30,000",80,1.5,500,90,120,60,108,1,Compute-heavy,492,Renewable-first,50
1.5,"43,000",0,1.3,"1,200",90,90,50,116,5,Mixed,365,Hybrid,10
1.8,"22,000",80,1.1,"1,300",90,90,30,163,1,I/O heavy,171,Hybrid,20
1.5,"24,000",100,1.6,"1,200",100,140,70,157,1,Compute-heavy,199,Hybrid,80
1.3,"45,000",100,1.8,"2,100",160,70,50,176,5,Compute-heavy,496,Renewable-first,10
1.5,"40,000",10,1.7,"1,700",130,140,50,110,3,Compute-heavy,55,Renewable-first,10
1.7,"28,000",70,1.3,"1,200",40,80,10,170,5,Compute-heavy,449,Non-renewable,30
1.7,"30,000",80,1.2,"2,500",130,130,100,157,2,I/O heavy,57,Hybrid,70
1.7,"33,000",70,1.7,"1,000",30,100,20,42,4,I/O heavy,235,Renewable-first,50
1.6,"26,000",80,1.3,"2,300",170,150,90,107,2,Compute-heavy,249,Non-renewable,20
1.4,"15,000",40,1.5,"1,600",60,130,80,30,1,Mixed,183,Non-renewable,0
1.7,"45,000",90,1.0,"2,700",170,80,0,122,3,I/O heavy,272,Non-renewable,80
1.7,"15,000",60,1.6,"1,900",50,140,30,38,3,I/O heavy,471,Non-renewable,60
1.3,"7,000",100,1.2,"1,300",40,90,20,105,1,I/O heavy,184,Non-renewable,10
1.3,"25,000",20,1.6,"1,800",130,150,70,116,4,I/O heavy,363,Non-renewable,0
1.8,"15,000",30,1.5,700,120,140,70,117,3,Compute-heavy,139,Hybrid,30
1.7,"12,000",30,1.3,"1,600",140,130,70,176,4,I/O heavy,252,Hybrid,30
1.7,"35,000",90,1.4,"1,500",100,60,90,58,4,Mixed,89,Non-renewable,30
1.7,"14,000",30,1.4,700,180,110,60,111,1,I/O heavy,362,Hybrid,40
1.5,"10,000",100,1.2,"1,200",30,100,50,135,1,Compute-heavy,115,Non-renewable,40
1.6,"21,000",70,1.1,500,200,70,50,193,5,Compute-heavy,314,Hybrid,60
1.5,"42,000",10,1.6,"2,100",100,90,60,45,1,I/O heavy,433,Non-renewable,0
1.2,"11,000",10,1.6,"2,200",90,130,100,84,1,Compute-heavy,444,Renewable-first,60
1.6,"36,000",40,1.5,"1,400",170,100,90,82,3,Compute-heavy,216,Hybrid,80
1.5,"17,000",50,1.2,"1,600",60,110,90,64,1,Mixed,115,Non-renewable,30
1.6,"10,000",30,1.3,"2,100",70,50,90,176,1,Mixed,239,Non-renewable,40
1.5,"7,000",60,1.1,"2,600",100,150,0,90,5,I/O heavy,238,Renewable-first,60
1.5,"31,000",90,1.6,"1,400",160,150,90,168,2,Compute-heavy,156,Renewable-first,60
1.3,"49,000",30,1.0,"1,800",60,50,60,102,2,Mixed,463,Renewable-first,20
1.4,"46,000",70,1.0,"1,300",150,100,70,22,1,Compute-heavy,280,Renewable-first,0
1.3,"30,000",10,1.4,"1,200",130,50,70,117,4,Mixed,471,Hybrid,70
1.3,"8,000",90,1.3,"2,300",80,60,40,27,1,Mixed,385,Renewable-first,0
1.8,"41,000",30,1.1,"2,100",160,50,30,167,2,I/O heavy,263,Renewable-first,50
1.3,"25,000",100,1.6,"1,900",30,140,80,155,0,Mixed,168,Non-renewable,10
1.4,"32,000",60,1.7,"1,000",70,80,80,94,1,Mixed,418,Non-renewable,70
1.6,"22,000",40,1.2,"1,100",190,130,50,180,5,Compute-heavy,81,Non-renewable,60
1.6,"36,000",90,1.5,"2,200",30,80,90,177,0,Mixed,290,Non-renewable,70
1.3,"43,000",100,1.6,"2,000",40,150,70,55,0,Mixed,404,Non-renewable,30
1.7,"37,000",10,1.5,"1,500",100,70,100,139,3,Compute-heavy,406,Hybrid,60
1.7,"30,000",20,1.3,"1,300",110,150,30,76,2,I/O heavy,279,Renewable-first,20
1.3,"21,000",30,1.4,"2,400",60,100,20,179,2,Compute-heavy,493,Renewable-first,50
1.4,"33,000",40,1.6,"1,400",50,50,10,155,5,I/O heavy,50,Hybrid,30
1.8,"24,000",60,1.8,"1,700",50,50,60,153,2,Mixed,461,Non-renewable,80
1.7,"34,000",20,1.6,"1,100",160,60,0,135,3,I/O heavy,436,Non-renewable,60
1.6,"9,000",80,1.3,600,80,60,80,92,5,I/O heavy,246,Renewable-first,50
1.2,"10,000",90,1.5,"2,200",190,100,10,103,3,Compute-heavy,184,Renewable-first,0
1.5,"46,000",20,1.7,"1,000",180,150,10,81,0,Compute-heavy,394,Renewable-first,40
1.5,"14,000",40,1.4,600,30,130,70,133,3,I/O heavy,373,Hybrid,80
1.3,"10,000",40,1.1,"1,900",200,60,100,118,0,I/O heavy,144,Non-renewable,0
1.5,"14,000",60,1.5,"1,500",170,90,50,97,0,I/O heavy,300,Renewable-first,30
1.6,"46,000",50,1.5,700,110,110,50,158,3,I/O heavy,178,Non-renewable,10
1.4,"25,000",100,1.1,"1,300",40,100,60,59,0,Mixed,291,Non-renewable,50
1.7,"48,000",20,1.2,"1,700",170,120,40,91,0,I/O heavy,163,Non-renewable,20
1.7,"8,000",0,1.5,"1,500",20,150,20,120,4,I/O heavy,470,Renewable-first,30
1.4,"17,000",50,1.8,"2,700",180,70,20,144,3,I/O heavy,382,Renewable-first,10
1.7,"14,000",100,1.1,"1,700",130,90,10,56,3,Mixed,343,Renewable-first,60
1.3,"20,000",50,1.5,"1,500",140,130,30,166,2,Compute-heavy,74,Renewable-first,10
1.7,"23,000",30,1.4,"1,400",200,50,0,48,1,Compute-heavy,485,Renewable-first,80
1.3,"10,000",10,1.3,900,130,110,50,45,5,Mixed,170,Renewable-first,80
1.2,"30,000",80,1.7,"2,800",200,130,20,173,1,I/O heavy,193,Renewable-first,20
1.6,"13,000",50,1.7,800,140,100,90,135,3,I/O heavy,54,Non-renewable,10
1.5,"14,000",0,1.1,"1,100",200,90,90,166,5,Mixed,57,Renewable-first,40
1.7,"44,000",70,1.6,"1,100",30,110,40,142,2,Compute-heavy,484,Hybrid,30
1.4,"7,000",90,1.6,"1,700",150,50,70,43,0,I/O heavy,257,Non-renewable,30
1.4,"23,000",60,1.7,"1,800",110,80,0,149,1,Mixed,170,Hybrid,10
1.5,"39,000",100,1.1,"1,300",170,150,60,105,4,Mixed,475,Hybrid,80
1.5,"10,000",100,1.7,"2,700",70,50,10,95,5,Mixed,152,Hybrid,60
1.4,"33,000",50,1.2,"1,400",80,50,30,149,2,I/O heavy,253,Hybrid,70
1.6,"23,000",100,1.7,"1,800",30,150,30,123,5,Mixed,494,Non-renewable,40
1.7,"48,000",100,1.7,600,20,150,50,75,3,Compute-heavy,101,Renewable-first,30
1.7,"19,000",0,1.6,700,140,130,60,106,0,I/O heavy,375,Non-renewable,50
1.8,"42,000",90,1.2,"1,300",50,90,90,53,0,Mixed,459,Hybrid,70
1.4,"25,000",40,1.6,"2,400",40,60,0,149,4,I/O heavy,265,Non-renewable,0
1.6,"48,000",30,1.2,"1,400",50,90,70,164,1,I/O heavy,337,Non-renewable,10
1.4,"43,000",60,1.2,800,140,110,50,77,0,Mixed,386,Renewable-first,10
1.6,"27,000",10,1.7,"3,000",160,50,40,135,1,Compute-heavy,389,Hybrid,10
1.5,"24,000",0,1.5,"1,300",110,50,40,190,1,Compute-heavy,123,Non-renewable,50
1.8,"46,000",60,1.2,"2,600",180,140,80,152,1,Compute-heavy,215,Renewable-first,20
1.6,"6,000",70,1.6,"1,300",160,130,90,46,4,Mixed,71,Renewable-first,0
1.8,"49,000",40,1.7,"1,300",200,90,70,160,5,Mixed,139,Non-renewable,40
1.7,"36,000",70,1.4,"2,000",200,60,20,28,0,I/O heavy,424,Non-renewable,10
1.7,"32,000",30,1.2,700,160,120,50,136,2,Compute-heavy,168,Hybrid,60
1.7,"8,000",70,1.5,"2,600",100,90,90,81,2,I/O heavy,183,Renewable-first,60
1.5,"11,000",100,1.5,"1,800",140,90,70,58,0,I/O heavy,184,Non-renewable,40
1.4,"7,000",20,1.5,"2,600",70,90,20,109,2,Compute-heavy,308,Renewable-first,80
1.4,"29,000",60,1.6,"2,400",110,60,40,184,3,I/O heavy,350,Non-renewable,20
1.2,"13,000",50,1.8,"1,700",20,50,60,117,5,Compute-heavy,413,Renewable-first,10
1.5,"27,000",0,1.1,"2,100",170,120,60,131,2,I/O heavy,215,Renewable-first,10
1.5,"27,000",40,1.2,"2,300",120,110,100,131,5,Mixed,255,Renewable-first,20
1.5,"30,000",100,1.7,"1,100",190,70,60,167,1,Mixed,432,Hybrid,30
1.8,"44,000",30,1.4,"1,100",30,100,60,172,1,Compute-heavy,349,Non-renewable,50
1.7,"22,000",50,1.6,"1,100",30,140,100,93,1,Mixed,106,Hybrid,50
1.3,"28,000",80,1.3,"3,000",160,50,40,77,2,I/O heavy,477,Hybrid,30
1.4,"31,000",30,1.7,"2,900",50,150,90,179,1,I/O heavy,93,Hybrid,60
1.5,"49,000",10,1.3,"3,000",190,110,50,150,1,Mixed,273,Renewable-first,80
1.4,"6,000",70,1.8,"2,000",180,90,30,50,4,Mixed,393,Hybrid,20
1.7,"5,000",0,1.3,500,160,70,60,115,4,I/O heavy,93,Non-renewable,20
1.5,"20,000",50,1.2,"2,200",160,140,50,178,0,I/O heavy,428,Hybrid,40
1.5,"47,000",30,1.1,"1,800",50,110,20,23,3,I/O heavy,436,Renewable-first,80
1.7,"28,000",50,1.7,700,90,60,30,79,2,I/O heavy,336,Renewable-first,50
1.7,"40,000",20,1.8,"1,500",190,90,90,112,1,Compute-heavy,471,Non-renewable,10
1.3,"15,000",80,1.7,600,50,150,20,22,1,Compute-heavy,412,Hybrid,70
1.6,"30,000",20,1.6,"2,200",180,80,0,102,0,Compute-heavy,133,Hybrid,80
1.5,"10,000",20,1.3,"2,000",40,100,70,140,4,Compute-heavy,251,Non-renewable,30
1.4,"30,000",40,1.2,"2,300",130,90,100,156,2,Compute-heavy,363,Renewable-first,10
1.2,"33,000",60,1.2,"1,800",70,120,60,48,1,I/O heavy,425,Hybrid,10
1.5,"47,000",50,1.6,"2,700",130,80,100,76,3,Compute-heavy,447,Renewable-first,20
1.4,"5,000",60,1.3,900,180,60,60,40,1,I/O heavy,292,Hybrid,0
1.4,"13,000",80,1.6,"2,900",50,90,10,180,0,I/O heavy,339,Hybrid,30
1.6,"31,000",20,1.8,"2,800",60,150,30,140,4,Compute-heavy,133,Non-renewable,0
1.7,"11,000",40,1.2,600,170,110,40,132,3,Compute-heavy,270,Hybrid,10
1.3,"7,000",40,1.1,"2,500",120,60,60,157,0,Mixed,496,Renewable-first,60
1.2,"13,000",20,1.1,"2,100",40,80,40,135,0,Mixed,423,Hybrid,80
1.7,"6,000",100,1.0,"2,300",160,130,60,112,3,I/O heavy,150,Non-renewable,80
1.2,"14,000",90,1.6,"1,500",170,110,70,174,0,I/O heavy,295,Renewable-first,30
1.8,"21,000",80,1.5,"2,500",160,90,30,179,0,Compute-heavy,106,Non-renewable,40
1.6,"35,000",80,1.5,"2,900",40,150,80,116,4,Mixed,390,Renewable-first,40
1.4,"5,000",50,1.5,"1,300",90,110,10,118,2,I/O heavy,202,Renewable-first,50
1.3,"22,000",40,1.1,"2,000",80,120,50,101,5,I/O heavy,114,Non-renewable,50
1.2,"10,000",30,1.2,"2,300",160,60,0,126,2,Mixed,278,Hybrid,60
1.3,"42,000",30,1.2,"1,500",70,140,80,50,5,I/O heavy,484,Renewable-first,20
1.3,"45,000",40,1.4,"1,800",30,80,0,97,2,Mixed,57,Non-renewable,60
1.6,"46,000",10,1.7,"1,500",120,50,80,74,3,Mixed,470,Non-renewable,0
1.3,"8,000",70,1.8,"1,900",110,60,10,134,3,Compute-heavy,326,Renewable-first,50
1.5,"44,000",60,1.5,"2,600",110,60,30,166,4,I/O heavy,423,Renewable-first,60
1.6,"8,000",60,1.2,"1,400",120,140,20,188,4,Compute-heavy,301,Renewable-first,0
1.4,"39,000",0,1.3,"1,400",40,70,30,160,2,Compute-heavy,458,Non-renewable,80
1.2,"8,000",70,1.3,"2,600",170,140,70,161,4,Compute-heavy,438,Non-renewable,0
1.2,"5,000",100,1.2,"2,900",170,60,70,171,5,Mixed,382,Renewable-first,30
1.2,"45,000",0,1.8,"2,600",90,80,70,110,0,I/O heavy,346,Non-renewable,30
1.6,"47,000",80,1.1,700,160,100,70,150,3,Mixed,93,Non-renewable,70
1.4,"35,000",50,1.5,"1,100",200,100,30,140,4,I/O heavy,398,Hybrid,50
1.7,"23,000",70,1.6,500,40,120,90,81,2,Mixed,239,Renewable-first,40
1.5,"25,000",0,1.8,"1,700",60,130,50,23,1,Compute-heavy,338,Hybrid,60
1.5,"34,000",50,1.2,"2,300",140,50,10,179,0,I/O heavy,499,Non-renewable,20
1.5,"11,000",0,1.2,700,100,130,60,68,0,Mixed,344,Hybrid,80
1.6,"9,000",20,1.4,"1,900",150,110,70,180,2,Compute-heavy,157,Hybrid,40
1.4,"6,000",10,1.3,"2,100",60,50,30,28,3,Compute-heavy,298,Hybrid,70
1.3,"7,000",10,1.2,500,200,100,40,177,1,I/O heavy,245,Renewable-first,80
1.5,"19,000",30,1.1,"1,700",120,150,20,48,4,Compute-heavy,179,Hybrid,40
1.4,"43,000",60,1.3,"2,800",200,60,80,108,0,Compute-heavy,147,Renewable-first,70
1.5,"41,000",20,1.2,"1,200",30,150,70,176,3,I/O heavy,205,Hybrid,70
1.6,"14,000",60,1.1,"2,900",170,60,30,127,4,Compute-heavy,361,Hybrid,10
1.5,"13,000",80,1.3,"3,000",30,80,10,57,3,Mixed,85,Hybrid,70
1.6,"27,000",30,1.1,"1,000",70,80,80,164,0,Mixed,273,Renewable-first,20
1.5,"18,000",60,1.7,"1,600",180,150,10,127,0,Compute-heavy,52,Hybrid,0
1.6,"49,000",0,1.5,"1,200",150,130,90,111,0,Mixed,137,Renewable-first,10
1.6,"37,000",10,1.4,"2,400",140,60,20,111,4,Mixed,83,Hybrid,60
1.5,"20,000",70,1.1,"1,700",140,140,40,34,4,I/O heavy,449,Hybrid,70
1.6,"24,000",20,1.6,"1,700",90,90,20,102,5,Compute-heavy,61,Hybrid,60
1.7,"12,000",40,1.1,"1,700",190,110,100,78,2,Compute-heavy,64,Renewable-first,40
1.5,"42,000",70,1.8,"2,500",110,50,70,120,3,I/O heavy,226,Non-renewable,80
1.4,"38,000",40,1.7,"1,200",170,90,90,74,2,Compute-heavy,429,Hybrid,70
1.7,"35,000",0,1.4,"2,200",70,100,90,102,3,Compute-heavy,470,Non-renewable,60
1.5,"49,000",10,1.5,"3,000",80,90,50,49,5,I/O heavy,311,Hybrid,0
1.2,"12,000",90,1.1,"2,400",80,80,100,151,3,I/O heavy,87,Renewable-first,20
1.7,"29,000",100,1.4,500,200,140,90,35,1,I/O heavy,248,Renewable-first,0
1.2,"45,000",20,1.7,"1,200",180,90,50,197,4,I/O heavy,312,Renewable-first,60
1.6,"17,000",90,1.1,"2,000",90,60,80,36,3,I/O heavy,269,Non-renewable,80
1.7,"22,000",10,1.2,"1,600",80,150,80,80,2,Mixed,497,Hybrid,30
1.8,"45,000",80,1.6,600,200,60,90,78,2,I/O heavy,191,Hybrid,40
1.2,"38,000",40,1.4,"2,000",80,120,100,196,4,Mixed,477,Renewable-first,30
1.6,"40,000",0,1.5,"2,200",140,50,100,142,2,Mixed,313,Non-renewable,80
1.5,"21,000",100,1.7,"1,500",80,80,100,119,1,I/O heavy,294,Renewable-first,40
1.4,"16,000",100,1.1,"1,500",60,80,20,98,0,Mixed,375,Non-renewable,70
1.3,"20,000",100,1.4,900,20,70,40,121,1,I/O heavy,485,Hybrid,10
1.5,"17,000",70,1.5,"1,500",30,50,50,196,4,Compute-heavy,220,Non-renewable,30
1.5,"15,000",20,1.5,"2,100",170,60,40,185,0,I/O heavy,295,Renewable-first,70
1.3,"18,000",100,1.7,"1,600",30,60,30,26,5,I/O heavy,132,Hybrid,30
1.6,"46,000",80,1.4,"2,600",100,100,60,124,5,Compute-heavy,166,Non-renewable,60
1.6,"32,000",80,1.3,"1,600",90,110,70,131,0,I/O heavy,310,Hybrid,20
1.7,"28,000",50,1.6,"1,200",30,120,70,106,0,Compute-heavy,68,Renewable-first,70
1.7,"21,000",30,1.7,"2,700",30,80,100,67,4,Mixed,139,Renewable-first,40
1.4,"13,000",80,1.3,"1,400",60,70,90,192,3,Mixed,430,Non-renewable,10
1.8,"34,000",100,1.6,"1,000",20,90,40,38,0,Compute-heavy,282,Non-renewable,70
1.7,"41,000",80,1.2,500,50,130,40,114,0,I/O heavy,141,Renewable-first,20
1.4,"7,000",10,1.1,"1,500",170,50,20,126,3,I/O heavy,152,Hybrid,60
1.3,"12,000",90,1.3,"1,300",200,50,50,116,5,I/O heavy,387,Hybrid,20
1.5,"22,000",50,1.3,"2,700",160,150,10,31,1,Compute-heavy,117,Non-renewable,60
1.4,"34,000",100,1.1,700,20,110,60,148,2,Compute-heavy,145,Non-renewable,50
1.5,"7,000",30,1.1,"1,800",60,80,70,197,4,Compute-heavy,454,Renewable-first,20
1.6,"38,000",20,1.6,"1,700",40,140,70,105,2,Compute-heavy,491,Non-renewable,10
1.6,"47,000",90,1.6,"2,400",170,60,20,182,0,Compute-heavy,106,Non-renewable,30
1.5,"32,000",50,1.1,700,90,150,70,66,1,Mixed,383,Hybrid,70
1.3,"41,000",100,1.4,"2,400",200,70,10,92,0,Compute-heavy,401,Renewable-first,30
1.7,"29,000",70,1.4,"2,100",20,70,80,112,4,Mixed,235,Hybrid,80
1.4,"34,000",80,1.4,"2,300",50,80,80,108,4,Mixed,370,Non-renewable,80
1.8,"11,000",80,1.8,"1,900",180,150,70,34,1,Mixed,473,Hybrid,0
1.3,"33,000",10,1.4,900,130,120,20,181,0,Mixed,432,Renewable-first,10
1.8,"6,000",70,1.4,"2,500",40,120,100,20,3,Compute-heavy,255,Renewable-first,60
1.3,"30,000",100,1.2,"1,300",90,50,10,191,2,Mixed,91,Renewable-first,80
1.3,"45,000",70,1.2,"2,500",160,140,40,62,5,Mixed,157,Non-renewable,80
1.2,"46,000",40,1.7,"2,100",110,100,0,178,3,Mixed,242,Hybrid,70
1.6,"11,000",30,1.7,"1,800",130,120,20,200,4,Compute-heavy,370,Renewable-first,50
1.7,"22,000",80,1.3,900,170,120,100,128,3,I/O heavy,348,Non-renewable,80
1.5,"10,000",30,1.7,"1,500",160,100,40,172,0,I/O heavy,479,Non-renewable,0
1.8,"45,000",90,1.3,"1,100",70,120,70,106,4,Mixed,249,Hybrid,0
1.6,"44,000",30,1.4,"1,600",100,120,100,73,3,I/O heavy,137,Non-renewable,60
1.6,"31,000",20,1.1,800,80,110,100,121,2,Mixed,163,Non-renewable,50
1.7,"45,000",90,1.5,"2,700",30,80,90,127,3,Mixed,136,Hybrid,40
1.4,"28,000",20,1.8,"3,000",40,90,20,62,3,Compute-heavy,71,Non-renewable,10
1.4,"37,000",20,1.0,"2,000",90,60,50,111,1,I/O heavy,110,Hybrid,30
1.7,"35,000",100,1.2,600,160,150,70,84,4,I/O heavy,442,Hybrid,40
1.7,"38,000",60,1.6,"2,000",90,90,20,163,3,Mixed,475,Non-renewable,30
1.8,"26,000",40,1.2,600,190,70,0,67,2,I/O heavy,127,Hybrid,50
1.7,"28,000",80,1.3,"1,500",80,50,50,155,1,Compute-heavy,80,Non-renewable,80
1.3,"40,000",10,1.2,"2,700",40,150,30,112,4,Compute-heavy,58,Hybrid,20
1.7,"32,000",30,1.8,"2,300",70,140,40,71,5,I/O heavy,135,Hybrid,30
1.4,"24,000",10,1.4,"2,700",180,100,30,21,0,Compute-heavy,265,Hybrid,0
1.8,"22,000",100,1.1,"2,300",90,140,20,165,0,I/O heavy,105,Hybrid,80
1.5,"46,000",70,1.1,"2,600",50,140,30,82,3,Mixed,490,Non-renewable,10
1.5,"36,000",30,1.2,"1,700",130,120,20,185,2,I/O heavy,326,Non-renewable,70
1.5,"37,000",0,1.3,"2,700",80,140,10,177,3,Compute-heavy,463,Hybrid,40
1.4,"14,000",90,1.2,"2,500",80,50,60,80,2,I/O heavy,194,Non-renewable,70
1.2,"13,000",20,1.4,"1,100",20,140,50,135,2,Compute-heavy,439,Renewable-first,80
1.7,"29,000",60,1.7,"1,700",190,140,60,55,3,Mixed,466,Hybrid,50
1.7,"17,000",20,1.6,"2,400",40,50,20,188,2,I/O heavy,255,Renewable-first,80
1.3,"49,000",40,1.5,"2,000",180,50,80,90,5,Mixed,146,Hybrid,80
1.7,"9,000",10,1.6,"2,100",120,150,0,123,0,Mixed,489,Hybrid,70
1.6,"35,000",70,1.5,"1,500",30,130,40,126,4,I/O heavy,53,Hybrid,40
1.4,"35,000",30,1.1,"1,800",50,120,0,51,1,I/O heavy,476,Non-renewable,0
1.4,"38,000",0,1.5,"2,800",20,110,80,163,5,I/O heavy,421,Non-renewable,50
1.7,"30,000",30,1.7,"3,000",110,150,0,111,2,Mixed,235,Renewable-first,20
1.6,"11,000",70,1.7,"3,000",160,60,30,45,5,Compute-heavy,249,Hybrid,0
1.5,"45,000",80,1.4,600,110,70,30,94,0,I/O heavy,137,Non-renewable,50
1.6,"24,000",0,1.3,"2,900",170,90,40,26,5,Mixed,297,Hybrid,30
1.3,"47,000",50,1.3,"1,900",30,110,20,114,2,I/O heavy,271,Hybrid,70
1.5,"26,000",30,1.5,"1,700",90,50,40,63,5,Mixed,496,Non-renewable,50
1.3,"9,000",100,1.3,"2,600",30,140,90,66,4,Compute-heavy,114,Non-renewable,60
1.3,"16,000",70,1.3,"1,700",50,100,10,194,2,Mixed,410,Non-renewable,30
1.6,"25,000",0,1.1,900,130,110,20,61,0,I/O heavy,127,Renewable-first,80
1.7,"13,000",40,1.1,"2,600",60,70,30,55,1,Compute-heavy,152,Hybrid,70
1.4,"33,000",0,1.0,"3,000",160,70,100,35,3,I/O heavy,448,Renewable-first,60
1.3,"31,000",30,1.8,"2,100",110,60,0,193,0,I/O heavy,148,Hybrid,10
1.6,"21,000",10,1.3,800,120,60,40,139,2,Compute-heavy,316,Hybrid,60
1.7,"44,000",90,1.1,"1,000",110,80,60,135,1,I/O heavy,446,Hybrid,40
1.6,"28,000",80,1.5,"2,600",200,130,50,133,1,Compute-heavy,302,Renewable-first,70
1.7,"31,000",10,1.5,"1,000",130,130,0,44,3,Compute-heavy,335,Renewable-first,10
1.5,"12,000",30,1.5,"2,700",50,70,30,158,3,Mixed,384,Hybrid,10
